Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2020-2021;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;69.6;22.2
2020-2021;DIJON;021;COTE D'OR;0211428N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;21054;BEAUNE;public;75.7;21.8
2020-2021;RENNES;035;ILLE-ET-VILAINE;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;35236;REDON;public;72.3;17.8
2020-2021;RENNES;035;ILLE-ET-VILAINE;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;35238;RENNES;public;65.9;19.6
2020-2021;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;69.2;20.9
2020-2021;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;54196;FLAVIGNY SUR MOSELLE;public;82.1;29.0
2020-2021;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;54099;VAL DE BRIEY;public;67.5;19.0
2020-2021;LILLE;059;NORD;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;59367;LYS LEZ LANNOY;public;63.5;18.5
2020-2021;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;87.0;42.2
2020-2021;LILLE;062;PAS-DE-CALAIS;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;62108;BERCK;public;83.3;32.0
2020-2021;ROUEN;076;SEINE MARITIME;0762211R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;76681;SOTTEVILLE LES ROUEN;public;67.0;20.6
2020-2021;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;70.8;24.4
2020-2021;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;62.9;18.3
2020-2021;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;71.9;22.0
2020-2021;CRETEIL;094;VAL-DE-MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;94011;BONNEUIL SUR MARNE;public;78.5;23.7
2020-2021;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS CAVANNA;94052;NOGENT SUR MARNE;public;74.8;26.7
2020-2021;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;76.1;24.8
2020-2021;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;67.6;18.1
2020-2021;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;12300;VILLEFRANCHE DE ROUERGUE;public;75.4;23.0
2020-2021;POITIERS;017;CHARENTE-MARITIME;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;17415;SAINTES;public;69.3;23.2
2020-2021;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;24557;TRELISSAC;public;72.8;27.9
2020-2021;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;73.5;22.9
2020-2021;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;73.9;27.5
2020-2021;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE MURET;31395;MURET;public;73.0;24.1
2020-2021;MONTPELLIER;034;HERAULT;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;34172;MONTPELLIER;public;69.5;22.0
2020-2021;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE/LEA PIERRE RABHI;38111;CLAIX;public;81.6;29.2
2020-2021;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;45004;AMILLY;public;72.1;21.0
2020-2021;CAEN;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;66.7;17.8
2020-2021;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;73011;ALBERTVILLE;public;68.9;14.7
2020-2021;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;76.4;24.5
2020-2021;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;72.3;21.4
2020-2021;POITIERS;086;VIENNE;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;86157;MIGNALOUX BEAUVOIR;public;70.3;21.6
2020-2021;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EREA;92004;ASNIERES SUR SEINE;public;75.4;24.1
2020-2021;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;68.6;24.4
2020-2021;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;73.7;28.1
2020-2021;POITIERS;016;CHARENTE;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;16271;PUYMOYEN;public;71.5;24.1
2020-2021;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;80.2;29.4
2020-2021;BORDEAUX;047;LOT-ET-GARONNE;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;47323;VILLENEUVE SUR LOT;public;68.1;23.6
2020-2021;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;64.4;19.4
2020-2021;CLERMONT-FERRAND;063;PUY-DE-DOME;0630665F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE LATTRE DE TASSIGNY;63307;ROMAGNAT;public;74.0;24.4
2020-2021;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;69.1;24.6
2020-2021;GRENOBLE;073;SAVOIE;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;73065;CHAMBERY;public;73.1;23.2
2020-2021;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;82.9;33.0
2020-2021;VERSAILLES;095;VAL-D'OISE;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;95582;SANNOIS;public;89.9;30.2
2020-2021;CORSE;02A;CORSE-DU-SUD;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AJACCIO;2A004;AJACCIO;public;76.0;24.6
2020-2021;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;25056;BESANCON;public;66.2;21.4
