Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62510;LIEVIN;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;public;66.8;16;66.4;81.8;81.8;NA;77.9;77.9;NA;77.3;77.3;125.0
2023-2024;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67218;ILLKIRCH GRAFFENSTADEN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;public;78.9;26.3;66.4;81.8;81.8;NA;78.9;78.9;NA;78.9;78.9;128.0
2023-2024;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69266;VILLEURBANNE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;public;84.3;27.9;66.4;81.8;81.8;NA;82.4;82.4;NA;84.3;84.3;129.0
2023-2024;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72058;CHANGE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;public;78.4;24.2;66.4;81.8;81.8;NA;78;78;NA;78.4;78.4;131.0
2023-2024;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73065;CHAMBERY;0730811K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE AMELIE GEX;public;79.4;21.7;66.4;81.8;81.8;NA;81.2;81.2;NA;78.8;78.8;132.0
2023-2024;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75120;PARIS 20E ARRONDISSEMENT;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;public;88.1;25.6;66.4;81.8;81.8;NA;83.1;83.1;NA;83.1;83.1;134.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92033;GARCHES;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;public;113.2;36.9;66.4;81.8;81.8;NA;105;105;NA;115.2;115.2;148.0
2023-2024;10;ILE-DE-FRANCE;24;CRETEIL;94;VAL-DE-MARNE;94052;NOGENT SUR MARNE;0940319L;LYCEE D ENSEIGNEMENT ADAPTE FRANCOIS CAVANNA;public;90.4;32.8;66.4;81.8;81.8;NA;86.2;86.2;NA;86.1;86.1;152.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95582;SANNOIS;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;public;89.7;27.4;66.4;81.8;81.8;NA;105;105;NA;90.3;90.3;154.0
2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01053;BOURG EN BRESSE;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;public;80.5;21.4;63.3;82.3;82.2;NA;83.8;83.8;NA;80.5;80.5;157.0
2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;15;CANTAL;15014;AURILLAC;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;public;75.6;23.5;63.3;82.3;82.2;NA;78.7;78.7;NA;75.6;75.6;164.0
2024-2025;15;NOUVELLE-AQUITAINE;22;LIMOGES;19;CORREZE;19136;MEYMAC;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;public;81.2;22.4;63.3;82.3;82.2;NA;81.2;81.2;NA;81.2;81.2;167.0
2024-2025;16;OCCITANIE;11;MONTPELLIER;34;HERAULT;34172;MONTPELLIER;0340833W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN JACQUES ROUSSEAU;public;78.2;25.5;63.3;82.3;82.2;NA;80.3;80.3;NA;78.2;78.2;177.0
